frames,ped_coord,speed,veh_speed
1,0.0,0.83,6
2,0.0,0.83,6
3,0.0,0.83,6
4,1.2043e-05,0.82,6
5,2.4085e-05,0.82,6
6,3.6128000000000004e-05,0.81,6
7,4.8171000000000003e-05,0.81,6
8,6.0213999999999996e-05,0.8,6
9,7.225600000000001e-05,0.8,6
10,8.4299e-05,0.79,6
11,9.634200000000001e-05,0.7859999999999999,6
12,0.00015766899999999998,0.7805714285714291,6
13,0.000267568,0.775142857142857,6
14,0.000389946,0.7697142857142858,6
15,0.0005138030000000001,0.7642857142857141,6
16,0.0006382790000000001,0.758857142857143,3
17,0.000763071,0.7534285714285721,2
18,0.0008858819999999999,0.748,5
19,0.001009184,0.7425714285714291,2
20,0.001132817,0.737142857142857,3
21,0.001256682,0.74,3
22,0.001380718,0.7262857142857142,3
23,0.0015048820000000001,0.72,4
24,0.001629144,0.7172259740259741,4
25,0.001753485,0.7119844155844159,4
26,0.0018778879999999999,0.706742857142857,4
27,0.002002341,0.701501298701299,4
28,0.002126837,0.69625974025974,6
29,0.0022525279999999997,0.691018181818182,6
30,0.002378247,0.6857766233766229,6
31,0.002503988,0.6805350649350649,6
32,0.002503988,0.6752935064935071,5
33,0.002503988,0.670051948051948,6
34,0.002637649,0.66481038961039,6
