frames,ped_coord,speed,veh_speed
1,0.0,4.1,6
2,8.172e-06,4.13,6
3,1.6344e-05,4.16,6
4,2.4516e-05,4.19,6
5,3.2687e-05,4.22,6
6,4.0859e-05,4.25,6
7,4.9031000000000005e-05,4.28,6
8,4.9031000000000005e-05,4.31,6
9,4.9031000000000005e-05,4.34,6
10,4.9031000000000005e-05,4.37,6
11,4.9031000000000005e-05,4.4,6
12,9.6095e-05,4.43,6
13,0.00017240900000000002,4.46,6
14,0.000252736,4.49,6
15,0.000252736,4.52,6
16,0.000252736,4.55,5
17,0.00025469,4.58,5
18,0.000256961,4.61,5
19,0.00025954099999999996,4.64,5
20,0.00025954099999999996,4.67,3
21,0.00025954099999999996,4.7,3
22,0.00025954099999999996,4.73,4
23,0.000262565,4.76000000000001,6
24,0.000265907,4.79000000000001,4
25,0.000269556,4.820000000000009,4
26,0.000361551,4.8500000000000085,3
27,0.000455967,4.88000000000001,3
28,0.000551562,4.82,4
29,0.000647815,4.8,3
30,0.00074447,4.79,4
31,0.0008413889999999999,4.76,3
32,0.00093849,4.73,3
33,0.00093849,4.7,4
34,0.00093849,4.67,6
35,0.001040757,4.64,5
36,0.0011430239999999999,4.61,5
37,0.001245292,4.58,1
38,0.001246622,4.55,4
39,0.001248056,4.52,3
40,0.001249591,4.49,3
41,0.001251228,4.46,4
42,0.0013625710000000001,4.43,3
43,0.0014739310000000002,4.4,3
44,0.0014739310000000002,4.37,4
45,0.0014739310000000002,4.34,6
46,0.0014739310000000002,4.31,4
47,0.0014739310000000002,4.28,3
48,0.0014739310000000002,4.25,1
49,0.0014739310000000002,4.22,3
50,0.001475867,4.19,3
51,0.0014779189999999998,4.15999999999999,3
52,0.0016152710000000002,4.12999999999999,3
53,0.001752662,4.1,3
54,0.0018900829999999999,4.069999999999991,6
55,0.002027529,4.03999999999999,6
56,0.002164995,4.009999999999991,6
57,0.002166883,3.979999999999991,6
