frames,ped_coord,speed,veh_speed
1,0.0,3.09,6
2,1.9612e-05,3.06,6
3,3.9225e-05,3.06,6
4,5.8837e-05,3.07,6
5,7.845e-05,3.08,6
6,0.000212307,3.09,6
7,0.00040228599999999996,3.09,6
8,0.000600135,3.09,6
9,0.000798254,3.09,6
10,0.000993725,3.1,6
11,0.001189793,3.1,6
12,0.001386206,3.1,6
13,0.001582835,3.11,6
14,0.0017796079999999998,3.11,6
15,0.001976483,3.11,6
16,0.0019783070000000003,3.12,6
17,0.001980497,3.12,6
18,0.001983051,3.12,6
19,0.001985968,3.13,6
20,0.001985968,3.13,6
21,0.001985968,3.13,6
22,0.001989709,3.135,6
23,0.001993912,3.138,6
24,0.001998573,3.141,6
25,0.002344389,3.1439999999999997,4
26,0.0026904040000000004,3.147,6
