frames,ped_coord,speed,veh_speed
1,0.0,0.76,6
2,0.00011539100000000001,0.78,6
3,0.00023078200000000001,0.8,6
4,0.000346173,0.83,6
5,0.00046156400000000003,0.85,6
6,0.000576955,0.86,6
7,0.000692346,0.88,6
8,0.0006925,0.89,6
9,0.000692962,0.91,6
10,0.00081339,0.924,6
11,0.0009338419999999999,0.9394285714285721,6
12,0.001054843,0.954857142857143,6
13,0.001175944,0.9702857142857142,6
14,0.001297117,0.9857142857142859,6
15,0.0014183429999999999,1.00114285714286,6
16,0.00153961,1.01657142857143,6
17,0.001660909,1.032,6
18,0.0017822329999999998,1.04742857142857,6
19,0.0017822329999999998,1.06285714285714,6
20,0.0017822329999999998,1.07828571428571,5
21,0.0017822329999999998,1.09371428571429,5
22,0.0017822329999999998,1.10914285714286,5
23,0.0017822329999999998,1.1245714285714299,5
24,0.0017822329999999998,1.14,5
25,0.0017822329999999998,1.15,1
26,0.0019314389999999999,1.15,1
27,0.002080704,1.15,1
28,0.002230015,1.15,1
29,0.002230015,1.15,5
30,0.002230015,1.15,1
31,0.002230015,1.15,5
32,0.0024003229999999998,1.15,5
33,0.0025706979999999997,1.15,5
34,0.0027411270000000003,1.15,6
35,0.002743046,1.15,6
36,0.002745172,1.15,6
