frames,ped_coord,speed,veh_speed
1,0.0,5.03,6
2,5.24e-06,5.07,6
3,1.048e-05,5.11,6
4,1.572e-05,5.15,6
5,2.096e-05,5.18,6
6,5.2518999999999996e-05,5.18,6
7,9.8565e-05,5.18,6
8,0.000145978,5.18,6
9,0.00019375799999999998,5.18,6
10,0.00024221599999999999,5.18,6
11,0.000290674,5.18,6
12,0.000338582,5.18,6
13,0.000386551,5.18,6
14,0.000434561,5.18,6
15,0.0004826000000000001,5.18,6
16,0.000531025,5.18,6
17,0.000579459,5.18,5
18,0.0006279,5.18,5
19,0.000628357,5.18,4
20,0.000628864,5.18,5
21,0.00067819,5.18,4
22,0.000727517,5.18,5
23,0.000776313,5.18,5
24,0.000825135,5.18,5
25,0.000873979,5.18,5
26,0.0009228410000000001,5.18,4
27,0.0009228410000000001,5.18,4
28,0.0009228410000000001,5.18,4
29,0.0009228410000000001,5.18,4
30,0.0009228410000000001,5.18,5
31,0.0009736360000000001,5.15,4
32,0.001024444,5.13,5
33,0.001075689,5.1,6
34,0.001126939,5.07,5
35,0.001177743,5.04,5
36,0.001228558,5.01,6
37,0.001279383,4.98,6
38,0.001330217,4.95,6
39,0.00138146,4.92,5
40,0.00143271,4.89,5
41,0.001483966,4.86,6
42,0.001534785,4.83,5
43,0.0015856129999999998,4.8,5
44,0.001636447,4.77,6
45,0.0016872870000000002,4.74,6
46,0.0016872870000000002,4.71,5
47,0.0016872870000000002,4.68,4
48,0.00173933,4.65,4
49,0.001791377,4.62,4
50,0.00184343,4.59,4
51,0.00184343,4.56,3
52,0.00184343,4.529999999999991,3
53,0.00184343,4.49999999999999,4
54,0.00184343,4.47,3
55,0.00184343,4.44,3
56,0.00184343,4.40999999999999,4
57,0.001843874,4.37999999999999,5
58,0.001844349,4.36,3
59,0.001844856,4.36,4
60,0.001845394,4.36,3
61,0.001905174,4.36,5
62,0.00196496,4.36,4
63,0.00202475,4.36,4
64,0.002084545,4.36,3
65,0.002144345,4.36,4
66,0.002203536,4.36,3
67,0.002262737,4.36,3
68,0.002262737,4.36,4
69,0.002262737,4.36,4
70,0.002262737,4.36,3
71,0.002325441,4.36,3
72,0.002388149,4.36,3
73,0.0024508620000000003,4.36,3
74,0.002451542,4.36,3
75,0.00245225,4.36,3
76,0.002452986,4.36,3
77,0.0025190539999999997,4.36,3
78,0.002585123,4.36,3
79,0.002651195,4.36,3
80,0.002717269,4.36,3
81,0.002783344,4.36,3
