frames,ped_coord,speed,veh_speed
1,0.0,3.96,6
2,0.0,3.96,6
3,0.0,3.96,6
4,0.0,3.96,6
5,0.0,3.97,6
6,7.5503e-05,3.97,6
7,0.000151005,3.97,6
8,0.000151005,3.98,6
9,0.000151005,3.98,6
10,0.000151005,3.98,6
11,0.00022966599999999998,3.99,6
12,0.000308501,3.99,6
13,0.000386877,3.99,6
14,0.000465289,3.99461538461538,6
15,0.000465289,3.99758241758242,6
16,0.000465289,4.00054945054945,5
17,0.000465289,4.00351648351648,4
18,0.000465289,4.0,5
19,0.000548335,4.0,5
20,0.000631396,3.99765567765568,5
21,0.0007144660000000001,3.9958974358974397,6
22,0.000797541,4.0,5
23,0.000797541,4.0,5
24,0.000797541,4.0,5
25,0.000883588,4.0,5
26,0.000969708,4.0,5
27,0.0010554219999999999,4.0,5
28,0.001141147,4.0,5
29,0.001226879,4.0,5
30,0.001226879,4.0,5
31,0.001226879,4.0,6
32,0.001227315,4.0,5
33,0.001227864,4.0,4
34,0.001228524,4.0,5
35,0.001229298,4.0,3
36,0.001229298,4.0,4
37,0.001229298,4.0,5
38,0.001229298,4.0,5
39,0.001229298,4.0,4
40,0.00133309,4.0,5
41,0.001436918,4.0,6
42,0.0015407729999999998,4.0,5
43,0.00164465,4.0,4
44,0.0017485460000000001,4.0,4
45,0.0018524560000000002,4.0,3
46,0.00195638,4.0,4
47,0.002060315,4.0,4
48,0.002061019,4.0,4
49,0.002061837,4.0,6
50,0.00206277,4.0,6
51,0.002063818,4.0,6
52,0.0020649789999999998,4.0,6
