frames,ped_coord,speed,veh_speed
1,0.0,3.71,6
2,3.991e-06,3.71,6
3,7.982e-06,3.71,6
4,1.1972999999999999e-05,3.71,6
5,1.5964e-05,3.71,6
6,1.9955e-05,3.71,6
7,4.1705e-05,3.71,6
8,7.5912e-05,3.71,6
9,0.000111661,3.71,6
10,0.000147837,3.71,6
11,0.00018419,3.71,6
12,0.000184681,3.71,6
13,0.000185262,3.71,6
14,0.000185932,3.71,6
15,0.00018669099999999998,3.71,6
16,0.00022434400000000002,3.71,4
17,0.000262032,3.71,5
18,0.00029974099999999996,3.71,5
19,0.00029974099999999996,3.71,5
20,0.00029974099999999996,3.71,4
21,0.00029974099999999996,3.71,4
22,0.00029974099999999996,3.71,5
23,0.000300457,3.71,6
24,0.000301231,3.71,5
25,0.000339661,3.71,5
26,0.000378221,3.71,5
27,0.000416873,3.71,6
28,0.00041748699999999997,3.71,5
29,0.00041814300000000005,3.71,5
30,0.000418843,3.71,5
31,0.000458888,3.71,5
32,0.000498944,3.71,5
33,0.000539007,3.71,5
34,0.000579078,3.71,6
35,0.000619154,3.71,6
36,0.000659234,3.71,5
37,0.000698713,3.71,3
38,0.000738235,3.7,5
39,0.000777793,3.69,5
40,0.000817383,3.69,4
41,0.000857508,3.68,5
42,0.000897633,3.67,4
43,0.000937758,3.67,5
44,0.000977884,3.67,6
45,0.0010175030000000001,3.66,6
46,0.001057142,3.66,6
47,0.0010967989999999999,3.65,6
48,0.001097279,3.65,6
49,0.001097779,3.64,4
50,0.001098297,3.64,4
51,0.001098833,3.63,3
52,0.001098833,3.63,4
53,0.001098833,3.62,3
54,0.001098833,3.62,4
55,0.001098833,3.613571428571431,3
56,0.001098833,3.60880952380952,4
57,0.0011420389999999999,3.6040476190476203,3
58,0.001185245,3.5992857142857098,1
59,0.001228451,3.5945238095238103,1
60,0.001271657,3.5897619047619,3
61,0.0013148629999999999,3.585,1
62,0.00135807,3.5802380952381,1
63,0.0014012760000000001,3.57547619047619,4
64,0.001443933,3.57071428571429,5
65,0.001486607,3.5659523809523797,5
66,0.0014871510000000001,3.5611904761904705,4
67,0.00148771,3.5564285714285697,5
68,0.001488285,3.55166666666666,4
69,0.001488875,3.547125,5
70,0.001489481,3.5423995098039196,5
71,0.001490102,3.53767401960784,6
72,0.001490738,3.53294852941176,4
73,0.00149139,3.52822303921568,5
74,0.00149139,3.5234975490196003,2
75,0.00149139,3.5187720588235303,4
76,0.001492071,3.5140465686274505,4
77,0.001492767,3.50932107843137,4
78,0.00149348,3.50459558823529,4
79,0.001494209,3.4998700980392097,3
80,0.0014949529999999998,3.4951446078431294,3
81,0.0014957129999999999,3.49041911764705,3
82,0.00149649,3.4856936274509702,6
83,0.001546831,3.4809681372548997,4
84,0.0015972129999999999,3.4762426470588195,4
85,0.001647631,3.4715171568627405,1
86,0.001647631,3.4667916666666603,4
87,0.001647631,3.46206617647058,4
88,0.001647631,3.4573406862744998,3
89,0.001647631,3.4526151960784195,3
90,0.001701241,3.4478897058823503,3
91,0.001754854,3.44316421568627,3
92,0.00180847,3.43843872549019,3
93,0.001809228,3.433713235294109,6
94,0.001810001,3.42898774509803,3
95,0.00181079,3.4242622549019504,3
96,0.001811594,3.41953676470587,1
97,0.001812413,3.41481127450979,2
98,0.001869466,3.4100857843137207,2
99,0.001926526,3.4053602941176404,2
100,0.001983592,3.40063480392156,3
101,0.002039879,3.39590931372548,2
102,0.0020962,3.3911838235293996,6
103,0.0021525520000000003,3.38645833333332,6
104,0.0022089320000000003,3.3817328431372404,6
105,0.00226534,3.37700735294117,6
