frames,ped_coord,speed,veh_speed
1,0.0,0.18,6
2,4.67e-06,0.2,6
3,9.339e-06,0.22,6
4,1.4009000000000001e-05,0.24,6
5,1.8679000000000002e-05,0.26,6
6,2.3348e-05,0.28,6
7,2.8018000000000002e-05,0.3,6
8,5.4312e-05,0.32,6
9,9.445e-05,0.34,6
10,0.00013674,0.36,6
11,0.00017967,0.38,6
12,0.00022287,0.4,6
13,0.000266208,0.42,6
14,0.000308745,0.44,6
15,0.000351487,0.46,6
16,0.00039436699999999996,0.48,6
17,0.000437344,0.5,6
18,0.000437344,0.52,5
19,0.000437344,0.54,5
20,0.000437344,0.57,5
21,0.000437344,0.59,4
22,0.000481749,0.61,5
23,0.000526211,0.59,6
24,0.000526211,0.57,5
25,0.000526211,0.55,5
26,0.000571441,0.53,4
27,0.000616705,0.51,5
28,0.000661998,0.49,5
29,0.000707312,0.47,4
30,0.000707312,0.45,5
31,0.000707312,0.43,4
32,0.000707312,0.41,5
33,0.000707312,0.39,5
34,0.000707768,0.37,6
35,0.000708265,0.35,5
36,0.000708805,0.33,5
37,0.000708805,0.31,4
38,0.000708805,0.29,5
39,0.000708805,0.27,5
40,0.000708805,0.25,5
41,0.000708805,0.23,4
42,0.000708805,0.21,4
43,0.000708805,0.19,5
44,0.000708805,0.17,5
45,0.000708805,0.15,6
46,0.000708805,0.13,5
47,0.000708805,0.11,5
48,0.0007627160000000001,0.0899999999999995,2
49,0.000816628,0.0699999999999995,5
50,0.0008705410000000001,0.0499999999999995,4
51,0.000923836,0.0299999999999995,4
52,0.000977162,0.02,4
53,0.001030514,0.0,5
54,0.001031085,0.07,5
55,0.001031693,0.15,4
56,0.001031693,0.23,6
57,0.001031693,0.31,5
58,0.00108798,0.38,6
59,0.0011442660000000001,0.46,6
60,0.001199917,0.54,6
