frames,ped_coord,speed,veh_speed
1,0.0,3.35,6
2,5.1715e-05,3.35,6
3,0.000103431,3.35,6
4,0.000155146,3.35,6
5,0.000206861,3.35,6
6,0.000258577,3.35,6
7,0.000310292,3.35,6
8,0.00036200699999999996,3.35,6
9,0.00036269599999999997,3.35,6
10,0.000363475,3.35,6
11,0.000364344,3.34,6
12,0.000365301,3.34,6
13,0.000366347,3.34,6
14,0.00036748099999999996,3.34,6
15,0.000368701,3.34,6
16,0.00042236,3.34,4
17,0.00047628199999999996,3.34,4
18,0.000530389,3.34,4
19,0.000584628,3.34,5
20,0.000638966,3.34,4
21,0.00069338,3.32,4
22,0.000747853,3.32,4
23,0.000802373,3.32,4
24,0.000856931,3.32,5
25,0.0009115210000000001,3.32,5
26,0.000966136,3.32,3
27,0.001020773,3.31,4
28,0.001021309,3.31,5
29,0.001021886,3.33,5
30,0.001078272,3.35,5
31,0.0011346589999999999,3.37,5
32,0.001191048,3.38,4
33,0.001247437,3.4,4
34,0.0013032130000000001,3.42,4
35,0.001359009,3.4360000000000004,4
36,0.001414823,3.453428571428569,4
37,0.001470653,3.4708571428571404,5
38,0.001471225,3.48828571428571,4
39,0.001471828,3.5057142857142902,4
40,0.0014724629999999998,3.52314285714286,5
41,0.0014731289999999999,3.5405714285714303,4
42,0.0015323770000000001,3.5580000000000003,4
43,0.001591626,3.5754285714285694,4
44,0.001650875,3.5928571428571403,4
45,0.001710124,3.61028571428571,4
46,0.0017108339999999998,3.62771428571429,4
47,0.001711571,3.6451428571428597,4
48,0.001772427,3.662571428571431,4
49,0.001833284,3.68,4
50,0.001894141,3.6974285714285697,4
51,0.001954998,3.71485714285714,3
52,0.002015855,3.7322857142857098,4
53,0.002076711,3.7497142857142802,4
54,0.002137568,3.7671428571428596,3
55,0.002198425,3.784571428571432,3
56,0.002258538,3.802,4
57,0.00231867,3.8194285714285696,4
58,0.00231867,3.836857142857141,4
59,0.00231867,3.8542857142857097,4
60,0.00231867,3.87171428571428,4
61,0.00231867,3.88914285714286,4
62,0.002383675,3.9065714285714304,4
63,0.002448681,3.924,4
