frames,ped_coord,speed,veh_speed
1,0.0,1.69,6
2,5.5596999999999996e-05,1.69,6
3,0.000111195,1.69,6
4,0.000166792,1.69,6
5,0.00016691599999999997,1.69,6
6,0.000167285,1.69,6
7,0.000167285,1.69,6
8,0.000167285,1.69,6
9,0.000167285,1.69,6
10,0.000167285,1.69,6
11,0.000167285,1.69,6
12,0.00016793599999999999,1.69,6
13,0.00016885400000000002,1.69,6
14,0.000229011,1.69,6
15,0.000289397,1.69,6
16,0.000349892,1.69,4
17,0.000410449,1.69,5
18,0.000471044,1.69,6
19,0.000531664,1.69,5
20,0.0005922999999999999,1.69,5
21,0.000652949,1.69,5
22,0.000713607,1.69,6
23,0.000774273,1.69,5
24,0.000774273,1.69,5
25,0.000774273,1.69,6
26,0.000774273,1.7,4
27,0.000774576,1.73,4
28,0.000774956,1.76,4
29,0.000775414,1.8,3
30,0.000775949,1.83,5
31,0.000776562,1.86,6
32,0.000777252,1.89,5
33,0.0007780189999999999,1.92,4
34,0.000846941,1.95,5
35,0.000915864,1.98,6
36,0.000984787,2.01,4
37,0.00105371,2.04,6
38,0.00105371,2.07,5
39,0.00105371,2.1,3
40,0.00105371,2.13,4
41,0.00105371,2.16,5
42,0.001125727,2.19,4
43,0.0011977910000000001,2.22,5
44,0.001269892,2.25,4
45,0.001342026,2.28,6
46,0.001342026,2.31,5
47,0.001342026,2.34,5
48,0.0013428029999999998,2.37,5
49,0.00134364,2.4,3
50,0.00134364,2.43,4
51,0.00134364,2.46,4
52,0.00134364,2.49,5
53,0.00134364,2.52,5
54,0.0014265679999999998,2.55,4
55,0.001509498,2.58,6
56,0.001510475,2.61,5
57,0.001511512,2.64,5
58,0.001597487,2.67,5
59,0.001683461,2.7,2
60,0.001769435,2.73,5
61,0.00185541,2.76,5
62,0.001941384,2.79,5
63,0.002026312,2.82,5
64,0.002111281,2.85,5
65,0.002112329,2.88,6
66,0.0021134229999999997,2.91,4
67,0.002202121,2.94,4
68,0.002290861,2.97,4
69,0.002379637,3.0,1
70,0.002468447,3.03,4
71,0.002468447,3.06,4
72,0.002468447,3.09,4
73,0.002561843,3.12,4
74,0.0026552679999999997,3.15,3
75,0.002748719,3.18,6
76,0.002842193,3.21,4
77,0.002842193,3.24,3
78,0.002842193,3.27,4
79,0.002842193,3.3,1
80,0.002944456,3.33,4
81,0.003046741,3.36,4
82,0.0031490470000000003,3.39,3
83,0.003251372,3.42,3
84,0.003353715,3.45,3
85,0.003456072,3.48,6
86,0.003457299,3.51,3
