frames,ped_coord,speed,veh_speed
1,0.0,0.04,6
2,2.1686999999999998e-05,0.04,6
3,4.3373999999999995e-05,0.13,6
4,4.3443000000000004e-05,0.22,6
5,4.365e-05,0.31,6
6,4.3993000000000004e-05,0.41,6
7,4.4469e-05,0.5,6
8,6.6514e-05,0.59,6
9,8.8606e-05,0.68,6
10,8.9046e-05,2.9935714285714305,6
11,8.9551e-05,0.77,6
12,9.0119e-05,0.86,6
13,0.000112329,0.95,6
14,0.000134595,1.04,6
15,0.000156894,1.14,6
16,0.00017921200000000002,1.23,1
17,0.000201544,1.32,5
18,0.000223886,1.41,5
19,0.000246235,1.5,5
20,0.000246637,1.59,5
21,0.000247063,1.68285714285714,5
22,0.000247513,1.7739285714285702,4
23,0.000247986,1.865,4
24,0.000248482,1.9560714285714296,6
25,0.000249002,2.04714285714286,5
26,0.000271268,2.13821428571429,5
27,0.000293611,2.2292857142857097,1
28,0.000293611,2.32035714285714,4
29,0.000293611,2.4114285714285697,5
30,0.000293611,2.5025,4
31,0.000293611,2.59357142857143,4
32,0.000293611,2.62,4
33,0.000293611,2.68,4
34,0.000293611,2.72,4
35,0.00029408799999999997,2.67,6
36,0.000294586,2.63,5
37,0.000295106,2.58,5
38,0.000295646,2.54,1
39,0.000296207,2.49,4
40,0.000296789,2.45,4
41,0.000297391,2.4,5
42,0.000321389,2.36,5
43,0.000345418,2.32,4
44,0.00036947,2.27,5
45,0.00039302099999999996,2.23,4
46,0.000416633,2.18,6
47,0.000440295,2.14,5
48,0.00046399999999999995,2.09,5
49,0.000464449,2.05,1
50,0.000464911,2.0,5
51,0.000465388,1.96,4
52,0.00046587800000000003,1.92,6
53,0.000466382,1.87,6
54,0.00046689999999999996,1.83,6
55,0.000467432,1.78,6
56,0.000492251,1.74,6
57,0.000517082,1.69,6
58,0.000541925,1.65,6
59,0.000566777,1.6,6
60,0.000591638,1.56,5
61,0.000616506,1.52,6
62,0.000641381,1.47,6
63,0.000641851,1.43,6
64,0.000642331,1.39,6
65,0.0006428219999999999,1.34277777777778,6
66,0.000643322,1.2991111111111102,5
67,0.000668128,1.25544444444444,5
68,0.0006929680000000001,1.21177777777778,6
69,0.000717838,1.1681111111111102,4
70,0.000742735,1.12444444444444,5
71,0.0007680930000000001,1.08077777777778,4
72,0.000793455,1.03711111111111,5
73,0.00081882,0.993444444444444,5
74,0.0008441869999999999,0.9497777777777779,5
75,0.000869557,0.9061111111111108,5
76,0.00089493,0.8624444444444449,5
77,0.000920305,0.8187777777777779,5
78,0.0009456810000000001,0.7751111111111109,5
79,0.00097106,0.7314444444444449,6
80,0.00099644,0.68,5
81,0.001021822,0.65,5
82,0.001047206,0.62,4
83,0.001047206,0.62,5
84,0.001047206,0.64,6
85,0.001047206,0.65,6
86,0.001072975,0.67,5
87,0.001098746,0.69,5
88,0.0011245180000000001,0.7,5
89,0.0011502910000000001,0.72,5
90,0.00117568,0.74,6
91,0.0012010810000000001,0.76,5
92,0.0012010810000000001,0.77,5
93,0.0012010810000000001,0.79,4
94,0.0012010810000000001,0.806666666666667,5
95,0.001201468,0.82369696969697,6
96,0.001201861,0.840727272727273,5
97,0.00120226,0.8577575757575759,5
98,0.001202665,0.874787878787879,4
99,0.001229004,0.8918181818181821,5
100,0.001255356,0.908848484848485,6
101,0.001281718,0.925878787878788,6
102,0.001308477,0.9429090909090908,5
103,0.001335235,0.9599393939393941,5
104,0.001361614,0.976969696969697,3
105,0.0013880020000000002,0.9940000000000001,6
106,0.00138838,1.0110303030303,5
107,0.001388764,1.02806060606061,5
108,0.001389153,1.0450909090909102,5
109,0.001389547,1.06212121212121,5
110,0.0013899479999999998,1.07915151515152,6
111,0.0013899479999999998,1.09618181818182,5
112,0.0013899479999999998,1.11321212121212,6
113,0.0013899479999999998,1.1302424242424198,5
114,0.0013899479999999998,1.14727272727273,5
115,0.001390363,1.16430303030303,3
116,0.001390785,1.18133333333333,5
117,0.001418866,1.1983636363636399,5
118,0.001446959,1.21539393939394,5
119,0.001475063,1.23242424242424,4
120,0.001503177,1.24945454545455,5
121,0.001503177,1.26648484848485,5
122,0.001503177,1.28351515151515,5
123,0.001503588,1.30054545454545,6
124,0.001504004,1.31757575757576,4
125,0.001504425,1.3346060606060601,5
126,0.0015048529999999998,1.3516363636363602,2
127,0.0015052870000000001,1.3686666666666698,5
128,0.001535064,1.38569696969697,4
129,0.001564842,1.4027272727272702,5
130,0.0015946220000000002,1.41975757575758,5
131,0.001624403,1.4367878787878798,5
132,0.001624403,1.4538181818181797,5
133,0.001624403,1.47084848484848,5
134,0.001624838,1.4878787878787898,6
135,0.001625278,1.50490909090909,5
136,0.001625724,1.52193939393939,5
137,0.001656502,1.58,2
138,0.0016872810000000001,1.65,5
139,0.0017176239999999998,1.72,5
140,0.0017479779999999999,1.8,5
141,0.001778771,1.89,5
142,0.001809566,1.92,5
143,0.001840361,1.98,5
144,0.001870734,2.01,5
