frames,ped_coord,speed,veh_speed
1,0.0,0.83,6
2,0.0,0.85,6
3,0.0,0.87,6
4,0.0,0.89,6
5,0.0,0.91,6
6,0.000111893,0.93,6
7,0.000223786,0.95,6
8,0.000335679,0.97,6
9,0.00044635300000000003,0.94,6
10,0.000557234,0.91,6
11,0.000558256,0.89,6
12,0.000559578,0.84,6
13,0.000559578,0.83,6
14,0.000559578,0.81,6
15,0.000679802,0.79,6
16,0.000800218,0.77,3
17,0.0009207519999999999,0.76,4
18,0.0009207519999999999,0.73,3
19,0.0009207519999999999,0.7,3
20,0.0009207519999999999,0.66,3
21,0.001051466,0.63,6
22,0.001182212,0.595,3
23,0.00131298,0.561,3
24,0.00131298,0.527,3
25,0.00131298,0.493,1
26,0.00131298,0.45899999999999996,3
27,0.00131451,0.425,6
28,0.0013162570000000001,0.391,6
29,0.00131822,0.35700000000000004,6
30,0.001320397,0.32299999999999995,6
31,0.0013227870000000002,0.289,6
32,0.001325391,0.255,6
