frames,ped_coord,speed,veh_speed
1,0.0,2.63,6
2,7.627000000000001e-06,2.61,6
3,1.5255e-05,2.58,6
4,2.2882e-05,2.5566666666666698,6
5,7.6631e-05,2.53166666666667,6
6,0.000145672,2.52,6
7,0.000215795,2.52,6
8,0.000286207,2.52,6
9,0.000287727,2.52,6
10,0.000289441,2.52,6
11,0.000291344,2.52,6
12,0.000291344,2.52,6
13,0.000291344,2.52,6
14,0.000291344,2.52,6
15,0.000293518,2.52,6
16,0.000295889,2.52,5
17,0.000298451,2.52,6
18,0.0003012,2.52,6
19,0.00037925,2.52,5
20,0.00045808400000000004,2.52,5
21,0.000537358,2.52,5
22,0.000616902,2.52,5
23,0.000616902,2.52,5
24,0.000616902,2.52,5
25,0.000616902,2.52,5
26,0.00061883,2.52,4
27,0.000620863,2.55,4
28,0.0006229990000000001,2.57,5
29,0.0006252380000000001,2.59,5
30,0.000627579,2.61,5
31,0.000630019,2.63,6
32,0.000632559,2.65,5
33,0.000635196,2.67,5
34,0.000728192,2.69,5
35,0.00082175,2.71,5
36,0.0009156969999999999,2.73,5
37,0.001009925,2.75,5
38,0.001102535,2.77,5
39,0.001195534,2.79,5
40,0.001288837,2.81,5
41,0.0013823820000000001,2.83,6
42,0.001476125,2.85,5
43,0.0015700279999999998,2.87,5
44,0.001664066,2.88,5
45,0.001759535,2.88,3
46,0.0018550139999999999,2.88,5
47,0.0019505,2.88,5
48,0.0020459939999999998,2.88,5
49,0.002141493,2.88,4
50,0.002142788,2.88,5
51,0.002144124,2.88,6
52,0.002145502,2.88,5
53,0.002146921,2.88,5
54,0.0021483820000000003,2.88,5
55,0.002149883,2.88,2
56,0.002151426,2.88,5
57,0.00226556,2.88,5
58,0.002379728,2.88,4
59,0.002493926,2.88,5
60,0.002608151,2.88,5
61,0.002609596,2.88,6
62,0.002611075,2.88,5
63,0.002612588,2.88,5
64,0.002738823,2.88,5
65,0.002865097,2.88,3
66,0.002991405,2.88,4
67,0.0031177440000000004,2.88,4
68,0.0031191559999999997,2.88,5
69,0.003120597,2.88,5
70,0.003122067,2.88,4
71,0.003123564,2.88,6
72,0.00312509,2.88,5
73,0.003126644,2.88,4
74,0.003128227,2.88,5
75,0.0031298370000000003,2.88,1
76,0.003131475,2.88,4
77,0.0031331420000000002,2.88,4
78,0.003134837,2.88,4
79,0.00336613,2.88,4
80,0.0035976959999999996,2.88,4
81,0.0038294859999999996,2.88,4
82,0.004061462,2.88,6
83,0.004293593,2.88,4
84,0.004525856,2.88,5
85,0.004758231,2.88,1
86,0.004989493,2.88,4
87,0.005220929,2.88,4
88,0.005452516,2.88,4
89,0.005686376,2.88,4
90,0.005920246,2.88,4
91,0.006154125999999999,2.88,4
