frames,ped_coord,speed,veh_speed
1,0.0,0.0,6
2,0.0,0.0,6
3,0.0,0.01,6
4,0.000259455,0.01,6
5,0.00051891,0.01,6
6,0.000778393,0.01,6
7,0.001037905,0.01,6
8,0.001038012,0.01,6
9,0.001038162,0.01,6
10,0.001038162,0.01,6
11,0.001038162,0.01,6
12,0.001038162,0.02,6
13,0.001038361,0.02,6
14,0.001038606,0.02,6
15,0.001317215,0.02,6
16,0.001595883,0.02,5
17,0.001874583,0.02,4
18,0.002153302,0.02,4
19,0.002153302,0.02,4
20,0.002153302,0.023859649122807,5
21,0.002153302,0.0249298245614035,6
22,0.002153302,0.026000000000000002,3
23,0.002445135,0.0270701754385965,5
24,0.002736969,0.028140350877192997,5
25,0.0030288040000000004,0.0292105263157895,4
26,0.00332064,0.030280701754386,4
27,0.0036123220000000003,0.0313508771929824,5
28,0.003904012,0.0324210526315789,4
29,0.00419571,0.0334912280701754,5
30,0.004487414,0.0345614035087719,4
31,0.004487545,0.0356315789473684,6
32,0.00448769,0.0367017543859649,5
33,0.004487849,0.0377719298245614,5
34,0.004488021,0.0388421052631579,4
35,0.004488021,0.0399122807017544,3
36,0.004488021,0.0409824561403509,5
37,0.004488021,0.0420526315789474,5
38,0.004488021,0.0431228070175438,4
39,0.004813212,0.0441929824561403,3
40,0.005138402,0.0452631578947368,4
41,0.005138402,0.0463333333333333,6
42,0.005138402,0.0474035087719298,5
43,0.005138608,0.0484736842105263,5
44,0.005138828,0.0495438596491228,4
45,0.005139063,0.0506140350877193,1
46,0.005490051,0.0516842105263158,4
47,0.005841039,0.0527543859649123,5
48,0.005841283,0.0538245614035088,4
49,0.005841541,0.0548947368421052,4
50,0.005841541,0.0559649122807017,4
51,0.005841541,0.0570350877192982,6
52,0.005841541,0.0581052631578947,5
53,0.005841541,0.0591754385964912,5
54,0.006230804,0.0602456140350877,5
55,0.006620069,0.0613157894736842,1
56,0.007009334,0.0623859649122807,5
57,0.007398337,0.0634561403508772,4
58,0.007787355,0.0645263157894737,5
59,0.008176388,0.0655964912280702,5
60,0.008565432,0.0666666666666667,4
61,0.008954486,0.0677368421052631,6
62,0.00934355,0.0688070175438596,4
63,0.009343787,0.0698771929824561,5
64,0.009344035,0.0709473684210526,5
65,0.009750771,0.0720175438596491,1
66,0.010157517,0.0730877192982456,4
67,0.010564271,0.0741578947368421,3
68,0.010971032,0.0752280701754386,4
69,0.011377799999999999,0.0762982456140351,6
70,0.011784573000000001,0.0773684210526316,6
