frames,ped_coord,speed,veh_speed
1,0.0,2.53,6
2,6.216300000000001e-05,2.52,6
3,0.00012432600000000002,2.52,6
4,0.00018648900000000002,2.52,6
5,0.00024797400000000004,2.52,6
6,0.000309574,2.52,6
7,0.00037123300000000006,2.52,6
8,0.000432925,2.52,6
9,0.000494994,2.52,6
10,0.0005570919999999999,2.52,6
11,0.0005570919999999999,2.52,6
12,0.0005570919999999999,2.52,6
13,0.0005570919999999999,2.52,6
14,0.0005570919999999999,2.52,6
15,0.0005570919999999999,2.52,6
16,0.0005570919999999999,2.52,4
17,0.0005570919999999999,2.52,5
18,0.0005570919999999999,2.52,5
19,0.0005570919999999999,2.52,5
20,0.0005570919999999999,2.52,5
21,0.0005570919999999999,2.52,6
22,0.0005570919999999999,2.52,4
23,0.0005570919999999999,2.52,4
24,0.0006296990000000001,2.52,4
25,0.000702325,2.52,3
26,0.0007743489999999999,2.52,4
27,0.000846403,2.52,4
28,0.0009184810000000001,2.52,4
29,0.0009905769999999999,2.52,4
30,0.001063164,2.52,4
31,0.001135773,2.52,6
32,0.001135773,2.53,4
33,0.001135773,2.54,4
34,0.001135773,2.55,4
35,0.001135773,2.56,2
36,0.001135773,2.57,3
37,0.001135773,2.59,3
38,0.001136418,2.6,6
39,0.001137148,2.61,6
40,0.001137148,2.62,6
41,0.001137148,2.63,6
42,0.001137148,2.65,6
