frames,ped_coord,speed,veh_speed
1,0.0,3.71,6
2,6.1839999999999996e-06,3.71,6
3,1.2367999999999999e-05,3.71,6
4,1.8552e-05,3.71,6
5,2.4735999999999998e-05,3.71,6
6,2.4735999999999998e-05,3.71,6
7,2.4735999999999998e-05,3.71,6
8,6.328e-05,3.71,6
9,0.00011908700000000001,3.71,6
10,0.00011908700000000001,3.71,6
11,0.00011908700000000001,3.71,6
12,0.00011908700000000001,3.71,6
13,0.000120636,3.71,6
14,0.00012252200000000002,3.71,6
15,0.000124731,3.71,6
16,0.00018382700000000001,3.71,4
17,0.000244289,3.71,5
18,0.000305307,3.71,4
19,0.000367495,3.71,5
20,0.000429694,3.71,5
21,0.000491899,3.71,5
22,0.000554109,3.71,5
23,0.000555036,3.71,6
24,0.000556046,3.71,5
25,0.000557137,3.71,5
26,0.00055831,3.71,4
27,0.000559564,3.71,5
28,0.000560898,3.71,5
29,0.0005623119999999999,3.71,5
30,0.000563805,3.71,4
31,0.000563805,3.71,3
32,0.000563805,3.71,4
33,0.000563805,3.71,3
34,0.000565437,3.71,6
35,0.000567154,3.71,4
36,0.000568954,3.71,4
37,0.000570836,3.71,1
38,0.000570836,3.71,3
39,0.000570836,3.71,3
40,0.000570836,3.71,3
41,0.000570836,3.71,3
42,0.000570836,3.71,3
43,0.000570836,3.71,3
44,0.000570836,3.71,6
45,0.000570836,3.71,4
46,0.000570836,3.71,4
47,0.000573073,3.71,4
48,0.000575415,3.71,1
49,0.000577859,3.71,4
50,0.000580405,3.71,3
51,0.000580405,3.71,4
52,0.000580405,3.71,4
53,0.000580405,3.71,4
54,0.000580405,3.71,3
55,0.000583237,3.71,6
56,0.000586182,3.71,5
57,0.0005892380000000001,3.71,4
58,0.000592403,3.71,1
59,0.0006918989999999999,3.71,3
60,0.000792405,3.71,3
61,0.0008935810000000001,3.71,3
62,0.000993043,3.71,2
63,0.001093175,3.71,2
64,0.0011938089999999999,3.69,2
65,0.001294828,3.64,2
66,0.001294828,3.6,6
67,0.001294828,3.55,1
68,0.001294828,3.5,1
69,0.001294828,3.46,1
70,0.0014055860000000001,3.41,6
71,0.001516625,3.37,6
