frames,ped_coord,speed,veh_speed
1,0.0,1.04,6
2,2.0189e-05,1.04,6
3,4.0379e-05,1.04,6
4,6.0568e-05,1.04,6
5,8.0757e-05,1.04,6
6,8.0757e-05,1.04,6
7,8.0757e-05,1.04,6
8,0.00023287,1.04,6
9,0.000444239,1.04,6
10,0.0006602139999999999,1.04,6
11,0.0006602139999999999,1.04,6
12,0.0006602139999999999,1.04,6
13,0.0006602139999999999,1.04,6
14,0.000909925,1.04,6
15,0.0011596430000000001,1.04,6
16,0.0014093629999999998,1.04,5
17,0.0014093629999999998,1.04,3
18,0.0014093629999999998,1.04,5
19,0.0014093629999999998,1.04,4
20,0.0014093629999999998,1.04,5
21,0.00172202,1.04,4
22,0.002035211,1.04,6
23,0.002348723,1.04,5
24,0.002348723,1.04,5
25,0.002348723,1.04,2
26,0.002348723,1.04,5
27,0.002348723,1.04,4
28,0.0028239009999999998,1.04,4
29,0.0032993429999999997,1.04,4
30,0.003774951,1.04,4
31,0.004250668,1.04,4
32,0.004257701,1.04,4
33,0.004265724,1.04,6
34,0.004274733,1.04,3
35,0.004284721,1.04,4
