frames,ped_coord,speed,veh_speed
1,0.0,3.31,6
2,0.0,3.31,6
3,0.0,3.31,6
4,8.377700000000001e-05,3.31,6
5,0.00016755400000000002,3.31,6
6,0.000251331,3.31,6
7,0.000251331,3.31,6
8,0.000251331,3.31,6
9,0.00025153400000000003,3.31,6
10,0.000252141,3.31,6
11,0.00025314900000000004,3.31,6
12,0.000254554,3.31,6
13,0.000254554,3.31,6
14,0.000254554,3.31,6
15,0.000254554,3.31,6
16,0.000254554,3.31,6
17,0.000254554,3.31,6
18,0.000254554,3.31,5
19,0.00025655700000000003,3.31,6
20,0.000259023,3.31,5
21,0.00026194099999999996,3.31,5
22,0.000265294,3.31,5
23,0.000265294,3.31,6
24,0.000265294,3.31,5
25,0.000265294,3.31,6
26,0.000265294,3.31,6
27,0.000265294,3.31,6
28,0.00038061,3.31,6
29,0.00049799,3.31,6
30,0.00049799,3.31,5
31,0.00049799,3.31,5
32,0.00049799,3.31,6
33,0.00049799,3.31,6
34,0.000629332,3.31,5
35,0.0007607489999999999,3.31,6
36,0.000892208,3.31,6
37,0.001023694,3.31,5
38,0.001023694,3.31,5
39,0.001023694,3.31,5
40,0.001023694,3.31,6
41,0.001023694,3.31,4
42,0.0011702260000000001,3.31,5
43,0.0013167720000000001,3.31,5
44,0.0014633279999999999,3.31,5
45,0.0016079979999999998,3.31,6
46,0.00175285,3.31,5
47,0.0018978410000000002,3.31,4
48,0.0020429420000000003,3.31,6
49,0.0020429420000000003,3.31,6
50,0.0020429420000000003,3.31,6
51,0.0020429420000000003,3.31,5
52,0.002044871,3.31,6
53,0.002046993,3.31,6
54,0.0022255639999999998,3.31,6
55,0.002404135,3.31,6
56,0.002582706,3.31,4
57,0.002761277,3.31,5
58,0.002939847,3.31,6
59,0.003118418,3.31,6
60,0.003296989,3.31,5
61,0.003299271,3.31,6
62,0.0033016720000000003,3.31,5
63,0.0033041909999999997,3.31,5
64,0.0033068290000000003,3.31,4
65,0.003541405,3.31,6
66,0.003776235,3.31,4
67,0.004011273,3.31,3
68,0.004011273,3.31,4
