frames,ped_coord,speed,veh_speed
1,0.0,0.23,6
2,5.768e-06,0.18,6
3,1.1537e-05,0.14,6
4,1.7305e-05,0.0933333333333334,6
5,2.3073e-05,0.0483333333333334,6
6,5.797e-05,0.03,6
7,0.000108834,0.07,6
8,0.00011022799999999999,0.1,6
9,0.000111913,0.14,6
10,0.000113876,0.18,6
11,0.000113876,0.215,6
12,0.000113876,0.252,6
13,0.000113876,0.289,6
14,0.00016753799999999998,0.326,6
15,0.000222437,0.363,6
16,0.000277842,0.4,4
17,0.000277842,0.4370000000000001,6
18,0.000277842,0.474,4
19,0.000277842,0.511,4
20,0.00033599199999999996,0.5479999999999999,3
21,0.000394152,0.585,4
22,0.00045231800000000006,0.622,4
23,0.000510487,0.659,6
24,0.000568659,0.696,5
25,0.000626834,0.733,5
26,0.000685009,0.77,3
27,0.0007431860000000001,0.807,5
28,0.000744003,0.8440000000000001,4
29,0.000744874,0.8809999999999999,4
30,0.0007457989999999999,0.9179999999999999,5
31,0.000746778,0.9550000000000012,3
32,0.00074781,0.992000000000001,4
33,0.000748895,1.0290000000000001,4
34,0.000750033,1.0659999999999998,6
35,0.0007512230000000001,1.103,4
36,0.000813429,1.12,4
37,0.0008757880000000001,1.12,3
38,0.0009382689999999999,1.12,4
39,0.00100085,1.12,4
40,0.001063512,1.12,4
41,0.001126243,1.12,3
42,0.001189032,1.12,5
43,0.001252684,1.12,4
44,0.001316337,1.12,4
45,0.001317185,1.12,6
46,0.00131807,1.12,5
47,0.001318991,1.12,4
48,0.001318991,1.12,1
49,0.001318991,1.12,3
50,0.001318991,1.12,5
51,0.001318991,1.12,3
52,0.001389043,1.12,3
53,0.0014590970000000001,1.12,6
54,0.001529154,1.12,3
55,0.001599213,1.12,4
56,0.001599213,1.12,6
57,0.001599213,1.12,4
58,0.001599213,1.12,6
59,0.001599213,1.12,6
60,0.001599213,1.12,6
