frames,ped_coord,speed,veh_speed
1,0.0,5.15,6
2,1.346e-05,5.15,6
3,2.6919e-05,5.15,6
4,4.0379e-05,5.15,6
5,5.3838e-05,5.15,6
6,6.7298e-05,5.13,6
7,8.0757e-05,5.13,6
8,9.421700000000001e-05,5.13,6
9,9.421700000000001e-05,5.11,6
10,9.421700000000001e-05,5.11,6
11,0.00010831700000000001,5.11,6
12,0.000122418,5.1041818181818215,6
13,0.00020497200000000002,5.09927272727273,6
14,0.00034086800000000003,5.0943636363636395,6
15,0.00048735900000000003,5.08945454545455,6
16,0.000637179,5.0845454545454505,3
17,0.0007884319999999999,5.07963636363636,4
18,0.0007884319999999999,5.0747272727272685,3
19,0.0007884319999999999,5.06981818181818,4
20,0.0007884319999999999,5.03,4
21,0.0007884319999999999,5.03,4
22,0.000960075,5.01,4
23,0.00113224,5.01,4
24,0.00130472,4.97,6
25,0.00130472,4.95,4
26,0.00130472,4.91666666666667,4
27,0.0014906939999999999,4.88666666666667,4
28,0.001676826,4.85666666666667,2
29,0.001863071,4.82666666666667,4
30,0.002049396,4.7966666666666695,4
31,0.002235781,4.76666666666667,3
32,0.002422213,4.73666666666667,4
33,0.002422213,4.73,3
34,0.002422213,4.71,6
35,0.002422213,4.7,3
36,0.002422213,4.68333333333333,4
37,0.002422213,4.66833333333333,3
38,0.002422213,4.65333333333333,1
39,0.002422213,4.63833333333333,4
40,0.002709101,4.62333333333333,4
41,0.0029960509999999996,4.60833333333333,3
42,0.0032830479999999998,4.59333333333333,3
43,0.0035700790000000003,4.5783333333333305,6
44,0.003853975,4.56333333333333,6
45,0.004138161,4.56,6
46,0.00442258,4.56,6
47,0.004426772,4.56,6
