frames,ped_coord,speed,veh_speed
1,0.0,0.33,6
2,5.9958000000000004e-05,0.37,6
3,0.00011991600000000001,0.42,6
4,0.000179874,0.46,6
5,0.00023983200000000002,0.5,6
6,0.000299872,0.545,6
7,0.000360021,0.588,6
8,0.00036036099999999996,0.631,6
9,0.00036083800000000004,0.674,6
10,0.00042191300000000005,0.7170000000000001,6
11,0.000483029,0.76,6
12,0.000544171,0.8029999999999999,6
13,0.000605332,0.846,6
14,0.0006665060000000001,0.889,6
15,0.00072769,0.932,6
16,0.000788882,0.975,6
17,0.00085008,1.018,5
18,0.000911283,1.061,5
19,0.000972489,1.104,5
20,0.001033941,1.147,5
21,0.001095425,1.19,5
22,0.001156935,1.2329999999999999,6
23,0.001218111,1.276,5
24,0.001279293,1.319,5
25,0.0013404789999999999,1.3619999999999999,5
26,0.0013408170000000002,1.405,4
27,0.001341204,1.4480000000000002,5
28,0.00134164,1.4909999999999999,5
29,0.001342125,1.534,5
30,0.001342125,1.577,5
31,0.001342125,1.62,5
32,0.001342125,1.663,6
33,0.0014098020000000001,1.706,5
34,0.00147749,1.749,5
35,0.00147749,1.7919999999999998,5
36,0.00147749,1.835,3
37,0.001546614,1.8780000000000001,5
38,0.001615752,1.921,5
39,0.0016849,1.964,5
40,0.00175406,2.0069999999999997,5
41,0.0018232279999999999,2.05,5
42,0.0018924039999999999,2.093,6
43,0.001961588,2.136,5
44,0.002030778,2.17899999999999,5
45,0.002099974,2.22199999999999,5
46,0.002169175,2.2649999999999904,3
47,0.0022383810000000002,2.30799999999999,5
48,0.0023075920000000002,2.35099999999999,4
49,0.002376806,2.3939999999999904,5
50,0.0024460239999999998,2.43699999999999,5
51,0.002515246,2.47999999999999,5
52,0.00258447,2.5229999999999904,6
53,0.002653698,2.56599999999999,5
54,0.002722928,2.60899999999999,5
55,0.00279216,2.6519999999999904,5
56,0.00279216,2.6949999999999905,2
57,0.00279216,2.7,4
58,0.00279216,2.7,5
59,0.00279216,2.7,4
60,0.002867689,2.7,5
61,0.00294322,2.7,4
62,0.0030187540000000002,2.7,6
63,0.003094289,2.7,4
64,0.003169827,2.7,5
65,0.0032453670000000003,2.7,4
66,0.003320908,2.7,1
67,0.003320908,2.7,4
68,0.003320908,2.7,4
69,0.003321459,2.7,4
70,0.0033220940000000003,2.7,4
71,0.003322813,2.7,4
72,0.003322813,2.7,6
73,0.003322813,2.7,4
74,0.003322813,2.7,4
75,0.003322813,2.7,4
76,0.00342348,2.7,1
77,0.0035242059999999998,2.7,4
78,0.003624985,2.7,3
79,0.0037258120000000002,2.7,4
80,0.0038266859999999997,2.7,4
81,0.0039276,2.73,4
82,0.003928941,2.78,6
83,0.003930374,2.84,4
84,0.00403991,2.89,4
85,0.004149463,2.93,4
86,0.004259032,2.97,1
87,0.004368615,2.99,3
88,0.0044782120000000005,3.02,3
89,0.004587821,3.06,3
