frames,ped_coord,speed,veh_speed
1,0.0,2.02,6
2,1.1635e-05,2.02,6
3,2.3269e-05,2.02,6
4,3.4904e-05,2.02,6
5,4.6538e-05,2.03,6
6,5.8173e-05,2.03,6
7,6.9807e-05,2.03,6
8,8.1442e-05,2.03,6
9,9.3076e-05,2.04,6
10,0.00010471100000000001,2.04,6
11,0.000116345,2.04,6
12,0.000178764,2.05,6
13,0.000286012,2.05,6
14,0.000399614,2.05,6
15,0.000518397,2.04,6
16,0.000521801,2.04,5
17,0.000525464,2.03,5
18,0.000525464,2.03,5
19,0.000525464,2.024,6
20,0.000525464,2.0194285714285702,5
21,0.000525464,2.01485714285714,6
22,0.000663811,2.01028571428571,6
23,0.000804151,2.0057142857142902,5
24,0.000945595,2.00114285714286,5
25,0.001087714,1.9965714285714296,3
26,0.001230273,2.01,5
27,0.001373135,2.02,5
28,0.001516215,2.02,5
29,0.0016594560000000001,2.03,5
30,0.0016612060000000001,2.03,5
31,0.001663124,2.04,6
32,0.001665211,2.04,5
33,0.001665211,2.0498333333333303,4
34,0.001665211,2.05602857142857,5
35,0.001665211,2.06222380952381,3
36,0.001665211,2.06841904761905,4
37,0.001852216,2.07461428571429,5
38,0.002039229,2.08080952380952,5
39,0.002226249,2.08700476190476,5
40,0.002413274,2.0932,5
41,0.002598011,2.09939523809524,6
42,0.0027829179999999997,2.10559047619048,6
43,0.002967964,2.11178571428571,6
44,0.003153124,2.11798095238095,6
45,0.0033383790000000003,2.1241761904761898,5
