frames,ped_coord,speed,veh_speed
1,0.0,4.13,6
2,4.8842e-05,4.12,6
3,9.7685e-05,4.12,6
4,9.7685e-05,4.11,6
5,9.7685e-05,4.11,6
6,0.000146813,4.1,6
7,0.000196044,4.1,6
8,0.000245317,4.09,6
9,0.000245317,4.09,6
10,0.000245317,4.09,6
11,0.000245317,4.09,6
12,0.000245317,4.08,6
13,0.000245317,4.08,6
14,0.000245317,4.07,6
15,0.000245317,4.07,6
16,0.000297972,4.06,6
17,0.00035066,4.06,6
18,0.00040336699999999996,4.05,5
19,0.000403845,4.05,5
20,0.000404413,4.043571428571431,5
21,0.00040507,4.03880952380952,5
22,0.000405815,4.03404761904762,5
23,0.00040664900000000003,4.0292857142857095,5
24,0.00040757,4.02452380952381,6
25,0.000462411,4.0197619047619,5
26,0.000517386,4.01,6
27,0.000517386,4.01,5
28,0.000517386,4.0,5
29,0.00057357,4.0,5
30,0.000629826,4.0,5
31,0.000686138,4.0,3
32,0.0006867830000000001,4.0,4
33,0.000687488,4.0,4
34,0.000744937,4.0,5
35,0.000802436,4.0,4
36,0.000859975,4.0,4
37,0.000860608,4.0,5
38,0.0008612919999999999,4.0,3
39,0.000862028,4.0,4
40,0.000922165,4.0,4
41,0.000982302,4.0,5
42,0.00104244,4.0,5
43,0.001102577,4.0,5
44,0.001161977,4.01,5
45,0.001221412,4.02,5
46,0.001281564,4.04,5
47,0.001341716,4.06,5
48,0.001401869,4.08,4
49,0.001401869,4.1,4
50,0.001401869,4.12,5
51,0.001401869,4.15,4
52,0.001401869,4.17,5
53,0.001401869,4.19,5
54,0.001401869,4.21,3
55,0.001466966,4.23,4
56,0.001532063,4.25,3
57,0.00159716,4.27,4
58,0.0016622579999999998,4.29,3
59,0.001727356,4.31,4
60,0.001792454,4.33,4
61,0.0018575520000000002,4.35,3
62,0.00192265,4.37,4
63,0.001923454,4.39,3
64,0.001924285,4.41,2
65,0.001925145,4.43,2
66,0.001926033,4.45,3
67,0.001995341,4.47,4
68,0.002064649,4.49,3
69,0.002133958,4.51,4
70,0.002203267,4.53,3
71,0.002271704,4.55,3
72,0.0023401679999999997,4.57,3
73,0.002408659,4.59,3
