frames,ped_coord,speed,veh_speed
1,0.0,2.92,6
2,3.557e-06,2.92,6
3,7.1129999999999995e-06,2.92,6
4,1.067e-05,2.92,6
5,1.4227000000000001e-05,2.92,6
6,3.6923e-05,2.92,6
7,6.814399999999999e-05,2.95,6
8,6.934e-05,2.95,6
9,7.0696e-05,2.95,6
10,7.219999999999999e-05,2.95,6
11,7.3846e-05,2.95,6
12,0.000105319,2.95,6
13,0.000137633,3.05,6
14,0.00017031,3.05,6
15,0.00017031,3.05,6
16,0.00017031,3.05,5
17,0.000203545,3.05,6
18,0.000236892,3.05,5
19,0.000270309,3.05,6
20,0.00030377299999999997,3.05,6
21,0.000304511,3.09,6
22,0.00030529,3.09,5
23,0.000306109,3.09,5
24,0.000306968,3.09,5
25,0.00034025699999999995,3.09,4
26,0.000373715,3.09,5
27,0.00040730000000000003,3.09,5
28,0.000440984,3.09,5
29,0.000475341,3.12,4
30,0.000509706,3.12,4
31,0.000544079,3.12,4
32,0.000578457,3.12,5
33,0.00061284,3.12,4
34,0.000647227,3.12,5
35,0.000681618,3.12,5
36,0.000682173,3.16,5
37,0.000682746,3.16,5
38,0.00068334,3.16,5
39,0.00068334,3.16,4
40,0.00068334,3.16,4
41,0.000718812,3.16,5
42,0.00075429,3.16,5
43,0.000789772,3.19,6
44,0.000825259,3.19,5
45,0.000860192,3.19,6
46,0.0008951569999999999,3.19,5
47,0.0008957,3.19,5
48,0.0008962589999999999,3.19,5
49,0.000932242,3.19,5
50,0.000968227,3.19,5
51,0.000968788,3.23,5
52,0.0009693639999999999,3.23,5
53,0.000969954,3.23,5
54,0.000970559,3.23,4
55,0.000970559,3.23,5
56,0.000970559,3.23,4
57,0.000970559,3.23,4
58,0.000970559,3.26,4
59,0.001008618,3.26,4
60,0.001046682,3.26,4
61,0.00108475,3.26,4
62,0.0011228219999999999,3.26,4
63,0.001160897,3.26,5
64,0.001198976,3.26,4
65,0.001198976,3.26,4
66,0.001198976,3.3,6
67,0.001198976,3.3,5
68,0.001237957,3.3,6
69,0.00127694,3.3,6
70,0.0013159270000000002,3.3,6
71,0.001354915,3.3,5
72,0.001393339,3.3,6
