frames,ped_coord,speed,veh_speed
1,0.0,2.45,6
2,1.5965e-05,2.27,6
3,3.193e-05,2.1,6
4,0.0009362089999999999,1.92,6
5,0.0018716020000000002,1.75,6
6,0.002807175,1.57,6
7,0.003742981,1.4,6
8,0.004678794,1.22,6
9,0.00561461,1.05,6
10,0.0065501859999999995,0.87,6
11,0.0074857840000000005,0.87,6
12,0.008421598,0.86,6
13,0.009357418000000001,0.85,6
14,0.010293242,0.85,6
15,0.011229069,0.84,6
16,0.012164898,0.84,2
17,0.01310073,0.83,2
18,0.014036563,0.83,2
19,0.01403685,0.8240000000000001,1
20,0.014037161000000001,0.819428571428571,2
21,0.014037496000000002,0.814857142857143,2
22,0.014037853999999999,0.79,2
23,0.014038236,0.77,2
24,0.014038236,0.75,2
25,0.014038236,0.73,6
26,0.014038236,0.71,2
27,0.014038236,0.69,6
28,0.014038236,0.67,6
29,0.014038236,0.65,5
30,0.015660232,0.63,6
31,0.017282233,0.61,6
32,0.01890374,0.59,6
